text,label
I am feeling very nervous,anxiety
I feel worry because of recent events,anxiety
These days I am stressed,anxiety
"Honestly, I feel overthinking",anxiety
I feel worried today,anxiety
I feel anxiety because of recent events,anxiety
I feel stress today,anxiety
These days I am anxiety,anxiety
Lately I have been anxiety,anxiety
These days I am worried,anxiety
I am feeling very worry,anxiety
Sometimes I feel angry,anger
I feel hate because of recent events,anger
Lately I have been mad,anger
"Honestly, I feel annoyed",anger
Right now I feel hate,anger
"Honestly, I feel irritated",anger
I am extremely frustrated right now,anger
I feel angry because of recent events,anger
I feel frustrated today,anger
I feel annoyed today,anger
I am feeling very annoyed,anger
I am extremely frustrated right now,anger
I feel irritated because of recent events,anger
I feel irritated because of recent events,anger
I feel hate because of recent events,anger
I am feeling very furious,anger
I feel annoyed today,anger
Lately I have been furious,anger
I am frustrated about everything,anger
I am extremely annoyed right now,anger
I feel angry because of recent events,anger
I am feeling very frustrated,anger
I feel mad because of recent events,anger
I feel irritated because of recent events,anger
I am feeling very irritated,anger
These days I am annoyed,anger
I am extremely hate right now,anger
I am extremely mad right now,anger
Lately I have been frustrated,anger
"Honestly, I feel angry",anger
I am feeling very hate,anger
"Honestly, I feel irritated",anger
I am extremely mad right now,anger
Lately I have been furious,anger
I am feeling very mad,anger
These days I am mad,anger
Lately I have been mad,anger
Lately I have been irritated,anger
I am feeling very frustrated,anger
Sometimes I feel mad,anger
I am annoyed about everything,anger
I am frustrated about everything,anger
I am annoyed about everything,anger
I am hate about everything,anger
I am extremely furious right now,anger
Sometimes I feel mad,anger
Sometimes I feel angry,anger
These days I am annoyed,anger
These days I am frustrated,anger
I feel irritated today,anger
"Honestly, I feel furious",anger
These days I am angry,anger
Sometimes I feel annoyed,anger
I feel angry today,anger
These days I am furious,anger
I am feeling very angry,anger
I am irritated about everything,anger
I feel irritated because of recent events,anger
I am annoyed about everything,anger
I feel irritated today,anger
I am annoyed about everything,anger
Right now I feel hate,anger
I am furious about everything,anger
"Honestly, I feel annoyed",anger
I feel mad today,anger
I am feeling very annoyed,anger
I am extremely frustrated right now,anger
I am feeling very hate,anger
Lately I have been irritated,anger
Right now I feel angry,anger
Sometimes I feel hate,anger
"Honestly, I feel annoyed",anger
I am irritated about everything,anger
I am extremely mad right now,anger
These days I am furious,anger
I feel annoyed because of recent events,anger
I am extremely frustrated right now,anger
I am hate about everything,anger
I am extremely angry right now,anger
I am extremely angry right now,anger
"Honestly, I feel angry",anger
I feel hate because of recent events,anger
These days I am furious,anger
I am hate about everything,anger
Lately I have been frustrated,anger
I am feeling very furious,anger
Lately I have been irritated,anger
These days I am furious,anger
I feel hate because of recent events,anger
I am mad about everything,anger
I am feeling very hate,anger
"Honestly, I feel furious",anger
I am extremely annoyed right now,anger
Lately I have been frustrated,anger
"Honestly, I feel hate",anger
I feel angry because of recent events,anger
I am extremely irritated right now,anger
I am extremely angry right now,anger
Lately I have been furious,anger
I am extremely mad right now,anger
Right now I feel at ease,calm
Lately I have been fine,calm
I am feeling very peaceful,calm
I am feeling very okay,calm
"Honestly, I feel content",calm
I feel content today,calm
I am ok about everything,calm
I am peaceful about everything,calm
Lately I have been chill,calm
Lately I have been peaceful,calm
Sometimes I feel peaceful,calm
I feel calm because of recent events,calm
Right now I feel ok,calm
I am at ease about everything,calm
Sometimes I feel okay,calm
"Honestly, I feel fine",calm
These days I am fine,calm
Right now I feel at ease,calm
I am ok about everything,calm
Sometimes I feel at ease,calm
I feel okay because of recent events,calm
"Honestly, I feel content",calm
Lately I have been chill,calm
I am fine about everything,calm
These days I am peaceful,calm
Sometimes I feel calm,calm
"Honestly, I feel ok",calm
"Honestly, I feel relaxed",calm
These days I am relaxed,calm
Lately I have been relaxed,calm
Sometimes I feel okay,calm
Lately I have been content,calm
I am feeling very chill,calm
Sometimes I feel fine,calm
I feel ok today,calm
I feel chill today,calm
"Honestly, I feel chill",calm
Right now I feel ok,calm
I am feeling very chill,calm
Right now I feel ok,calm
I am extremely calm right now,calm
I am extremely relaxed right now,calm
Lately I have been peaceful,calm
These days I am calm,calm
Lately I have been at ease,calm
Sometimes I feel at ease,calm
I am feeling very calm,calm
These days I am calm,calm
Lately I have been fine,calm
I am content about everything,calm
I feel content because of recent events,calm
These days I am relaxed,calm
These days I am fine,calm
I feel relaxed today,calm
I feel fine because of recent events,calm
I am feeling very at ease,calm
Sometimes I feel relaxed,calm
I feel content today,calm
I am content about everything,calm
Lately I have been fine,calm
I feel okay because of recent events,calm
I am calm about everything,calm
Right now I feel ok,calm
Lately I have been chill,calm
"Honestly, I feel relaxed",calm
I am feeling very ok,calm
"Honestly, I feel content",calm
"Honestly, I feel content",calm
I feel content today,calm
Sometimes I feel chill,calm
I feel calm because of recent events,calm
These days I am ok,calm
I am extremely calm right now,calm
I am extremely relaxed right now,calm
I am feeling very fine,calm
Lately I have been ok,calm
I am extremely calm right now,calm
I am extremely content right now,calm
Sometimes I feel peaceful,calm
Lately I have been at ease,calm
I am feeling very peaceful,calm
I feel at ease today,calm
Right now I feel okay,calm
Right now I feel calm,calm
I am extremely calm right now,calm
"Honestly, I feel okay",calm
"Honestly, I feel chill",calm
These days I am at ease,calm
Right now I feel calm,calm
I am extremely okay right now,calm
I am extremely calm right now,calm
I am feeling very okay,calm
I feel ok because of recent events,calm
Sometimes I feel chill,calm
I am extremely chill right now,calm
Sometimes I feel peaceful,calm
I am extremely at ease right now,calm
These days I am content,calm
I feel relaxed because of recent events,calm
I feel relaxed because of recent events,calm
